Job ID,Job Title Index,Job Title,Company Name,Company Location,Country
p_ecae2dcad8f17d8b,1,Data & Systems Analyst,Protein Industries Canada,"Regina, SK",2
pj_12dccdfbb8ef0da5,1,Junior Data Analyst - LOCAL | MTL,BDP CALL CENTER,"Vaudreuil-Dorion, QC",2
pj_7837ad55c28258ea,1,Pipeline Inline-Inspection Data Analyst (ILI Level 2-3),Onstream Pipeline Inspection Services Inc.,"Calgary, AB",2
p_05719d87a0059bf7,1,Data and Reporting Analyst,Nunavut Government,"Iqaluit, NU",2
p_bf4bd5f13d04a674,1,Specialist-Data Visualization,Canadian Red Cross,Canada,2
p_13a59e490ff74b5b,1,Irrigation Data Analyst,Government of Alberta,"Lethbridge, AB",2
p_342507b44891b778,1,Content Researcher & Analyst,Upfeat Media Inc.,Remote,2
p_badd1ceb510f77f0,1,Data Analyst,Paradigm Consulting Group,"Regina, SK",2
p_ee7f4d3dae51aa09,1,Enterprise DBA or Data Analyst,Finesse-Tech,British Columbia,2
pj_e65431d29d17c9f0,1,Business Analyst,LENDCARE,"Pickering, ON",2
pj_341545c1296400eb,1,"Junior Business Analyst, Inventory Control (Excel Expert)",Toronto Research Chemicals,"Toronto, ON",2
p_e58d6f89cf5f08cc,1,Group Data Analyst,GroupHEALTH Benefit Solutions,"Surrey, BC",2
pj_f0b375a54e98b0f2,1,Data Analyst/Support Analyst (Bilingual),Motoinsight,"Toronto, ON",2
pj_75ea8f8e7fe1a077,1,Fenergo Data Analyst,Aerotek,"Toronto, ON",2
p_b5cfd68de25520d9,1,FO 18R - Business Data Analyst,BC Public Service,"100 Mile House, BC",2
p_be48b0ed34115aff,1,Competitive Intelligence Data Analyst - VIE Contract (W/M),Sanofi,"Laval, QC",2
p_6b97dd600f823df0,1,DATA ANALYST,Compass Group Canada,"Calgary, AB",2
p_51adbd4615daf17e,1,Data Analyst,University of Saskatchewan,"Saskatoon, SK",2
p_4d2a5694c8fd4690,1,"Senior Analyst, Data Insights - Property Claims",Aviva,"Markham, ON",2
p_b15d3bb40f078937,1,Analyst Data Integrity - 6 month contract,Sobeys,"Calgary, AB",2
p_803bd3e2565b7a03,1,Data Analyst,theScore Inc.,Remote,2
p_cc617ef53f436042,1,Business Systems and Reporting Analyst,First Nations Bank of Canada,"Saskatoon, SK",2
pj_4f582a4ef5db5e8c,1,Intermediate Database Analyst,PointClickCare,Remote,2
p_0d39670d970efa20,1,Junior Data Analyst,GroupHEALTH Benefit Solutions,"Surrey, BC",2
p_244e0fc80c1af441,1,Data Analyst (w/SQL),J.D. Power,Ontario,2
p_637b0b34841c500f,1,Analyste de données / Data Analyst,Norton Rose Fulbright,"Quebec City, QC",2
p_f65b7e2e93a9ea22,1,"Investor Relations Analyst, ESG & Data",opentext,Remote,2
p_0bb44eee5f5cca5d,1,Data Analyst,Prodigy Systems Inc.,"Toronto, ON",2
p_41017074c9e52a67,1,"Data Analyst, Course Evaluations",University of Toronto,"Toronto, ON",2
p_2ff2228d34513935,1,Data Analyst - Contract position (Open Ended),resulta,"Bedford, QC",2
p_52df01128134e3f6,1,Data Science Analyst (Remote),Yelp,Remote,2
p_ef38416931de3dc1,1,Data Analyst,Toronto Transit Commission,"Toronto, ON",2
p_f789dfe5190dd889,1,Data Quality Analyst Summer Co-op 2021,RBC,Ontario,2
p_0d340d205d5c02cb,1,data warehouse analyst,1st Call Industrial Ltd.,"Mississauga, ON",2
p_de6ee53c2fc63a3c,1,Senior Data Analyst,resulta,"Bedford, QC",2
p_ab511e3ea34b877b,1,"Information and Data Analyst, Population Health Observatory",Fraser Health,"Surrey, BC",2
p_7faa01a2aa479774,1,Data Governance Analyst,Pacific Data Integrators,"Toronto, ON",2
p_54ba69c3cabba411,1,Crime Analyst,Regina Police Service,"Regina, SK",2
p_7c6ccdaef3b15fe3,1,Data Analyst,Veem,"Ottawa, ON",2
pj_febc885b489207ab,1,Senior Business Intelligence Analyst (B052-20),Legal Aid BC,"Vancouver, BC",2
p_5a2a57d3aa226f33,1,Database Analyst,SoftSim Technologies,"Montréal, QC",2
p_bfa221db7deb152c,1,Business Analyst I,University of British Columbia,"Vancouver, BC",2
p_26d47fee690df6d4,1,Data Analyst,Hyper Hippo,"Vancouver, BC",2
pj_79853eee0f0d2c99,1,"Analyst, Shareholder Advisory",AST Trust Company (Canada),"Toronto, ON",2
p_5856204cc05b4fa2,1,BI Data Analyst,Precision Drilling Corporation,"Calgary, AB",2
p_48da79915db7db90,1,Senior Analyst,Nova Scotia Health Authority,"Sydney, NS",2
p_a4493582aac8e368,1,Junior Data Analyst - Relational Data Bases,GHD,"Waterloo, ON",2
p_240c711725fafeb4,1,Data Analyst - eCommerce,Best Buy,"Burnaby, BC",2
p_d0c4a767399e1675,1,"Analyst, Institutional Systems",Vanier College,"Montréal, QC",2
p_8acfa04a61d8b67f,1,Data Management Analyst,LAMP Community Health Centre,"Toronto, ON",2
p_4e82dca4666e13db,1,Senior Data Governance Analyst (Remote),Yelp,Remote,2
p_c2c222261eddd933,1,Analyst,McGill University,"Montréal, QC",2
p_26dab41f37d7d6b1,1,network support analyst,Seafair,"St. John's, NL",2
p_215a9b0bd45d7d8c,1,Strategic Research Data Analyst,University of Ottawa,"Ottawa, ON",2
pj_ed630239b0d7a730,1,Junior Decision Support Analyst,Reconnect Community Health Services,"Toronto, ON",2
p_1b1630f411852e85,1,"Analyst, Consulting Services & Consumer Insights",Loblaw Companies Limited,"Brampton, ON",2
p_74ec7f6b96ff35bf,1,database analyst,Dameng Internet Ltd,"Halifax, NS",2
p_da0fc3a540b1c778,1,Sr. Business Analyst - Data,McAfee,"Waterloo, ON",2
p_c181d1c0ef2e48b1,1,STO 21R - Geospatial Analyst,BC Public Service,"Surrey, BC",2
p_11dcb44eedf5733f,1,Siebel Data Analyst,General Electric,"Mississauga, ON",2
pj_37f1c43db57def5e,1,Business Analyst,Greco Aluminum Railings,"Windsor, ON",2
p_b9d9fbdaaa34eb36,1,Junior Business Analyst,Fresh Prep,"Vancouver, BC",2
p_e072192ce205ed51,1,Category Analyst,Lucros Partners,Canada,2
p_47a250e0d0db31c1,1,SAP Data Analyst,IBM,"Halifax, NS",2
p_957d037a13e92780,1,Data Loss Prevention Analyst,Canada Life Assurance Company,"Montréal, QC",2
p_ba7903f22afe9c8a,1,Data Analyst,IQ Hunt,"Toronto, ON",2
p_979d61222d56dce9,1,Operations Support Analyst,Canada Guaranty,Canada,2
